intent,page_content
TECH_SUPPORT,웹사이트 폰트가 깨져서 보입니다.
TECH_SUPPORT,캐시 삭제는 어떻게 하나요?
TECH_SUPPORT,PC 버전 설치 파일 다운로드가 안 됩니다.
TECH_SUPPORT,블루투스 이어폰 연결 시 싱크가 맞지 않아요.
TECH_SUPPORT,지도 화면에서 내 위치가 엉뚱한 곳으로 나옵니다.
TECH_SUPPORT,어두운 모드(다크 모드) 설정 기능이 있나요?
TECH_SUPPORT,서비스 점검 중인지 어디서 확인하나요?
TECH_SUPPORT,프로그램 실행 시 백신 프로그램이 차단합니다.
TECH_SUPPORT,인쇄 버튼을 눌렀는데 반응이 없어요.
TECH_SUPPORT,API 연동 문서가 어디에 있나요?
ORDER,제가 주문한 상품이 지금 어디쯤 왔나요?
ORDER,배송지 주소를 잘못 입력했는데 수정 가능할까요?
ORDER,어제 주문한 상품을 오늘 받을 수 있나요?
ORDER,상품이 누락되어 배송되었습니다.
ORDER,받은 물건이 파손되어 있어요 교환 원합니다.
ORDER,택배 기사님 연락처를 알 수 있을까요?
ORDER,주문 상태가 준비 중에서 변하지 않아요.
ORDER,송장 번호를 확인하고 싶습니다.
ORDER,편의점 픽업으로 주문할 수 있나요?
ORDER,배송 전 주문 취소는 어떻게 하나요?
ORDER,옵션(사이즈/색상)을 잘못 선택했어요 변경해 주세요.
ORDER,해외 배송도 지원하는 서비스인가요?
ORDER,반품 택배비는 누가 부담하나요?
ORDER,선물하기 기능으로 보낸 상품의 수령 여부를 알고 싶어요.
ORDER,재입고 알림 신청은 어떻게 하나요?
ORDER,묶음 배송으로 받고 싶습니다.
ORDER,군부대 배송이 가능한가요?
ORDER,배송 완료라고 뜨는데 문 앞에 물건이 없습니다.
ORDER,대량 주문 시 할인이 적용되나요?
ORDER,새벽 배송 가능 지역인지 궁금합니다.
OFF_TOPIC,오늘 점심 메뉴 추천해줘.
OFF_TOPIC,너는 사람이니 아니면 로봇이니?
OFF_TOPIC,여기서 가장 가까운 맛집 알려줘.
OFF_TOPIC,지금 서울 날씨가 어때?
OFF_TOPIC,심심한데 농담 하나만 해봐.
OFF_TOPIC,비트코인 시세 좀 알려줘.
OFF_TOPIC,너를 만든 회사는 어디야?
OFF_TOPIC,사랑해.
OFF_TOPIC,축구 경기 결과 누가 이겼어?
OFF_TOPIC,내일 아침 7시에 깨워줄 수 있어?
OFF_TOPIC,MBTI가 뭐야?
OFF_TOPIC,로또 번호 6개만 찍어줘.
OFF_TOPIC,주말에 가볼 만한 여행지 추천해줘.
OFF_TOPIC,영어 공부 어떻게 하면 잘할 수 있을까?
OFF_TOPIC,요즘 유행하는 노래가 뭐야?
OFF_TOPIC,나 오늘 생일이야 축하해줘.
OFF_TOPIC,세상에서 제일 키 큰 동물이 뭐야?
OFF_TOPIC,코딩 잘하는 법 알려줘.
OFF_TOPIC,너랑 대화하면 재밌다.
OFF_TOPIC,유튜브에서 재밌는 채널 추천해줘.
